,images,Text,confidenceOCR
107,images/Cropped Image549.jpg,368,0.9995949040107689
108,images/Cropped Image550.jpg,868,0.37270533001657274
109,images/Cropped Image552.jpg,MHHH,0.23366130888462067
110,images/Cropped Image552.jpg,168,0.61129617203204
111,images/Cropped Image552.jpg,368,0.9996932509817066
112,images/Cropped Image552.jpg,222<,0.34506627917289734
113,images/Cropped Image553.jpg,RERAYK;,0.4176116016892729
114,images/Cropped Image554.jpg,ECCU,0.8834027647972107
115,images/Cropped Image554.jpg,Jviss03,0.24608904561342262
116,images/Cropped Image556.jpg,ECCU,0.9280353784561157
117,images/Cropped Image556.jpg,Jvss03,0.2815723955473909
118,images/Cropped Image557.jpg,Zero,0.8865470886230469
119,images/Cropped Image557.jpg,Yara,0.437543400983111
120,images/Cropped Image557.jpg,Emalssion,0.3804989707168749
121,images/Cropped Image557.jpg,Blrkeland,0.9754665939078
122,images/Cropped Image558.jpg,~Jp.2509,0.3957604362921851
123,images/Cropped Image593.jpg,H,0.6024534942034201
124,images/Cropped Image596.jpg,nonap,0.8196034849888975
125,images/Cropped Image596.jpg,Kvhr,0.30462446808815
126,images/Cropped Image598.jpg,nonap,0.8361689832366999
127,images/Cropped Image598.jpg,KVhr,0.21183520555496216
128,images/Cropped Image599.jpg,Tarrif,0.16906808313644328
129,images/Cropped Image600.jpg,Tagrmf,0.2541915969421999
130,images/Cropped Image600.jpg,nonap,0.7835869802445202
131,images/Cropped Image600.jpg,Kvhr,0.24019266664981842
132,images/Cropped Image602.jpg,TPVEVH,0.5589520125412542
133,images/Cropped Image602.jpg,HhXEHEP ,0.25757211609972147
134,images/Cropped Image603.jpg,Pacific,0.8526126830868735
135,images/Cropped Image603.jpg,Fresponder,0.12257548766878502
136,images/Cropped Image603.jpg,RScD,0.1375848948955536
137,images/Cropped Image614.jpg,099,0.9999298671292889
138,images/Cropped Image615.jpg,099,0.9982852029128526
139,images/Cropped Image616.jpg,099,0.9997943521931303
140,images/Cropped Image621.jpg,No SMoking,0.45474670675570444
141,images/Cropped Image621.jpg,AFETY FiRsT,0.5108059551108015
142,images/Cropped Image621.jpg,sti CLAPHAN,0.3963513511555436
143,images/Cropped Image622.jpg,N0 SMoking,0.4657016699760735
144,images/Cropped Image622.jpg,IAFETY FiRST,0.20750505946234019
145,images/Cropped Image623.jpg,No Naked FLame And,0.24307627055259642
146,images/Cropped Image623.jpg,SSI ERDOGAN BEY,0.8639858964615221
147,images/Cropped Image624.jpg,OKIANA,0.9943596631987068
148,images/Cropped Image624.jpg,2  0,0.6077145225191067
149,images/Cropped Image624.jpg,Saba VELA,0.19005502638011576
150,images/Cropped Image625.jpg,MOLESON,0.9484514131269323
151,images/Cropped Image625.jpg,basel,0.6791350032598682
152,images/Cropped Image627.jpg,MOLESON,0.9156688836804556
153,images/Cropped Image628.jpg,MOLESON,0.9744160797228685
154,images/Cropped Image628.jpg,basel,0.84589840141647
155,images/Cropped Image629.jpg,MOLESON,0.9772943645214865
156,images/Cropped Image629.jpg,basel,0.931090179405579
157,images/Cropped Image630.jpg,TEAL BULKER ,0.6809040541009685
158,images/Cropped Image630.jpg,LAVRITZEU,0.3392597381238121
159,images/Cropped Image631.jpg,LAVRITZEU,0.352116076286184
160,images/Cropped Image632.jpg,No,0.5792725647632726
161,images/Cropped Image632.jpg,smoking,0.705588001405405
