created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2022-03-22 18:41:33+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier leaving San Diego - March 22, 2022 #ussnimitz #cvn68 https://t.co/9a2hWfNOCN",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FOeYiUTWQBM30KO.jpg'],
2022-03-21 16:45:26+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier coming into San Diego - March 21, 2022 #ussnimitz #cvn68 https://t.co/ZIoJJMF2E5",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FOY0Xu1XoAU5P3G.jpg'],
2022-03-21 14:29:03+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","German Navy Type 212A-class attack submarine S185 (U35) leaving Kiel, Germany - March 21, 2022 #u35 #type212a #s185 https://t.co/0nOfH0Chpo",en,"['u35', 'type212a', 's185']",['https://pbs.twimg.com/media/FOYVKE_XMAItDAV.jpg'],
2022-03-21 13:10:37+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA",@anotherMikeKC @ScotlandDX Here's another pic that @ScotlandDX took of the same vessel. https://t.co/DsliA0nehy,en,,['https://pbs.twimg.com/media/FOYDM50XsAgE_RA.jpg'],
2022-03-21 12:58:07+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Unidentified submarine in Kiel, Germany - March 21, 2022 https://t.co/wpVJeTy3Pn",en,,['https://pbs.twimg.com/media/FOYAWCgXwAs43u8.jpg'],
2022-03-21 00:01:06+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Ohio-class ballistic missile submarine northbound in Puget Sound - March 20, 2022 

* photo courtesy of @drimcalban https://t.co/nvnk9PmmEU",en,,['https://pbs.twimg.com/media/FOVOfwbXMAUJopx.jpg'],
2022-03-18 15:49:04+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","German Navy Sachsen-class frigate FGS Hessen (F221) coming into Kiel, Germany - March 18, 2022 #fgshessen #f221 https://t.co/oLIRAd8FPh",en,"['fgshessen', 'f221']",['https://pbs.twimg.com/media/FOJKs4UXwAMYg-u.jpg'],
2022-03-18 12:50:20+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Unidentified vessel in Piraeus, Greece - possibly Canadian frigate - March 18, 2022 https://t.co/sErCEuAF2O",en,,['https://pbs.twimg.com/media/FOIhyn-XsAED5Q2.jpg'],
2022-03-18 12:49:34+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","HMS Diamond (D34) Daring-class air defence destroyer in Piraeus, Greece - March 18, 2022 #hmsdiamond #d34 https://t.co/Bs4hZrXztB",en,"['hmsdiamond', 'd34']",['https://pbs.twimg.com/media/FOIhnipX0AIogh_.jpg'],
2022-03-17 13:10:44+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USCGC Hamilton (WMSL-753) Legend-class cutter leaving Mayport, Florida - March 17, 2022 #uscgchamilton #wmsl753 https://t.co/USl45oGOFC",en,"['uscgchamilton', 'wmsl753']",['https://pbs.twimg.com/media/FODc32yXoAEzjuE.jpg'],
2022-03-16 19:28:52+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","More photos of the sandstorm in Cartagena, Spain today - March 16, 2022 

* photos courtesy of @Miguel_Egea https://t.co/DfsIwvBlGw",en,,['https://pbs.twimg.com/media/FN_p0_SWYAwtxy4.jpg'],
2022-03-15 20:56:04+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","U.S. Navy drone ship USV Seahawk coming into San Diego - March 15, 2022  #usvseahawk #USV https://t.co/cHbKEpVjd7",en,"['usvseahawk', 'USV']",['https://pbs.twimg.com/media/FN60MmjXIAQAqkm.jpg'],
2022-03-15 17:35:25+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier leaving San Diego - March 15, 2022 #ussnimitz #cvn68 https://t.co/UZxLljuq7c",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FN6GRgGXEAo25mZ.jpg'],
2022-03-15 17:35:13+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier leaving San Diego - March 15, 2022 #ussnimitz #cvn68 https://t.co/bAAeFh1yYX",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FN6GOjJXEAEskih.jpg'],
2022-03-15 17:13:33+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier leaving San Diego - March 15, 2022 #ussnimitz #cvn68 https://t.co/4YS2Z5MagK",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FN6BRBVXsAM5Pbv.jpg'],
2022-03-15 16:51:22+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Makin Island (LHD 8) Wasp-class amphibious assault ship leaving San Diego - March 15, 2022 #ussmakinisland #lhd8 https://t.co/F9eVwmejNk",en,"['ussmakinisland', 'lhd8']",['https://pbs.twimg.com/media/FN58MJfXIAwx5B7.jpg'],
2022-03-15 16:51:11+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Makin Island (LHD 8) Wasp-class amphibious assault ship leaving San Diego - March 15, 2022 #ussmakinisland #lhd8 https://t.co/LHGN4yIY3O",en,"['ussmakinisland', 'lhd8']",['https://pbs.twimg.com/media/FN58JZNXEAAfUZx.jpg'],
2022-03-14 16:44:05+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier coming into San Diego - March 14, 2022 #ussnimitz #cvn68 https://t.co/fJIA9qhZ0e",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FN0w7vlXEAInYmL.jpg'],
2022-03-14 16:43:56+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier coming into San Diego - March 14, 2022 #ussnimitz #cvn68 https://t.co/Vf2ZpRtOCr",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FN0w5neWUAM-Vmo.jpg'],
2022-03-13 17:08:36+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Virginia-class nuclear attack submarine coming into Groton, Connecticut - March 13, 2022 https://t.co/6jd2gEcdoM",en,,['https://pbs.twimg.com/media/FNvs8_zXoAYWymS.jpg'],
2022-03-12 18:43:30+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Arleigh Burke-class guided missile destroyer off of Honolulu, Hawaii - March 12, 2022 https://t.co/rYzaKfgdFp",en,,['https://pbs.twimg.com/media/FNq5FeOXMAYbUsz.jpg'],
2022-03-11 13:31:30+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","German Navy Elbe-class tender FGS Elbe (A511) coming into Rostock, Germany - March 11, 2022 #fgselbe #a511 https://t.co/kMGZbCTXWe",en,"['fgselbe', 'a511']",['https://pbs.twimg.com/media/FNkoFdxX0AEVnGM.jpg'],
2022-03-10 21:14:40+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USCGC Munro (WMSL 755) Legend-class cutter leaving San Diego - March 10, 2022 #uscgcmunro #wmsl755 https://t.co/AGhsTaMVCE",en,"['uscgcmunro', 'wmsl755']",['https://pbs.twimg.com/media/FNhIgPaWUAEZZmq.jpg'],
2022-03-10 15:30:37+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Los Angeles-class nuclear attack submarine off of Groton, Connecticut with a quick stop - March 10, 2022 https://t.co/vFf8GtIgn2",en,,['https://pbs.twimg.com/media/FNf5wmoVcAM35XY.jpg'],
2022-03-10 13:51:07+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Unidentified vessels in Piraeus, Greece - March 10, 2022 https://t.co/miJXIpcAit",en,,['https://pbs.twimg.com/media/FNfi_DWXEAM_b6J.jpg'],
2022-03-10 01:24:58+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","French Navy Aquitaine-class frigate FS Languedoc (D653) in Tromso, Norway - March 10, 2022  #d653 #fslanguedoc https://t.co/PCVvlInihF",en,"['d653', 'fslanguedoc']",['https://pbs.twimg.com/media/FNc4NCWXMAMun-b.jpg'],
2022-03-09 13:39:36+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Hellenic Navy Kortenaer-class frigate HS Limnos (F451) in Limassol, Cyprus - March 9, 2022 #hslimnos #f451 https://t.co/cqtUYgYacq",und,"['hslimnos', 'f451']",['https://pbs.twimg.com/media/FNaWwfDXEAMSo95.jpg'],
2022-03-09 13:33:12+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","Unidentified vessel in Piraeus, Greece - March 9, 2022 https://t.co/CKhP6VIDYR",en,,['https://pbs.twimg.com/media/FNaVS09XwAM7-D2.jpg'],
2022-03-09 01:43:43+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Zumwalt (DDG 1000) Zumwalt-class guided missile destroyer leaving San Diego - March 8, 2022 #usszumwalt #ddg1000 https://t.co/mcuOyFnemp",de,"['usszumwalt', 'ddg1000']",['https://pbs.twimg.com/media/FNXy6AlWUAMJwfQ.jpg'],
2022-03-09 01:43:32+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Zumwalt (DDG 1000) Zumwalt-class guided missile destroyer leaving San Diego - March 8, 2022 #usszumwalt #ddg1000 https://t.co/72T7Bncy7L",de,"['usszumwalt', 'ddg1000']",['https://pbs.twimg.com/media/FNXy3MvXwAM7Te1.jpg'],
2022-03-08 22:15:25+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","ATLS 9701 - U.S. Navy aerial launch target ship coming into San Diego - March 8, 2022 #atls9701 https://t.co/t5LxCLaK6U",en,['atls9701'],['https://pbs.twimg.com/media/FNXDOqwVUAI-7bS.jpg'],
2022-03-08 17:33:15+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier leaving San Diego - March 8, 2022 #ussnimitz #cvn68 https://t.co/4MjflZ06hC",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FNWCpg7X0AMgtSF.jpg'],
2022-03-08 15:22:13+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","HMS Tyne (P281) River-class offshore patrol vessel in Liverpool, England - March 8, 2022 #hmstyne #p281 https://t.co/zmaVbCXWAw",en,"['hmstyne', 'p281']",['https://pbs.twimg.com/media/FNVkp91XMAQTG_h.jpg'],
2022-03-07 16:33:34+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier coming into San Diego - March 7, 2022 #ussnimitz #cvn68 https://t.co/ZsXpGBqP8c",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FNQrZbvWQAAKhZZ.jpg'],
2022-03-07 15:43:39+00:00,WarshipCam,"*-* Watching webcams & social media for views of combat ships 
*-* Happy to share your photos with full credit given
*-* YouTube: WarshipCam","Virginia, USA","USS Nimitz (CVN 68) Nimitz-class aircraft carrier coming into San Diego - March 7, 2022 #ussnimitz #cvn68 https://t.co/mqIA1Z6ypz",en,"['ussnimitz', 'cvn68']",['https://pbs.twimg.com/media/FNQf-O2WUAQkuC5.jpg'],
