created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2018-05-28 07:12:39+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",Belgian pilotvessel LOODSBOOT 1 outbound towards Steenbank pilotstation. https://t.co/9QkV17yH7D,en,,['https://pbs.twimg.com/media/DeRCngoXUAAEzgT.jpg'],
2018-05-22 22:22:49+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",23/05/1998: FALCON ARROW aground at Ritthem (North-East of Flushing) after a black-out. https://t.co/cPbfQuYl83,en,,['https://pbs.twimg.com/media/Dd1ZZkoVwAALasz.jpg'],
2018-05-22 22:16:23+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",23/05/1990: New OLAU BRITANNIA seen at Flushing roads with old BRIT departing on her last trip from Flushing. https://t.co/rdruDl29vl,en,,['https://pbs.twimg.com/media/Dd1X7YOUQAA9IaX.jpg'],
2018-05-18 15:27:46+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",Multraship's latest vessel; MULTRATUG 9 (2) arrived today on her maiden-trip at Terneuzen. @multraship https://t.co/1cvHvuN5S3,en,,['https://pbs.twimg.com/media/DdfUCtdUQAYb977.jpg'],
2018-05-17 22:20:46+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",A Black&amp;White again; exactly 34 years ago the bulkcarrier EIRA aground in front of the Flushing boulevard. https://t.co/bghlFmUpIu,en,,['https://pbs.twimg.com/media/Ddbo-6KV0AEcBqE.jpg'],
2018-05-13 19:25:23+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",LIVING STONE departing Flushing East on her way to Rotterdam. https://t.co/44NbtfaqHi,en,,['https://pbs.twimg.com/media/DdGaeyEXcAEKZH8.jpg'],
2018-05-09 14:53:02+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",Back to black&amp;white; UNION FOUR aground at Zoutelande today exactly 32 years ago (09-05-1986). https://t.co/fFOEAI2Hr0,en,,['https://pbs.twimg.com/media/Dcw1yN5XkAI3jXG.jpg'],
2018-05-09 08:36:47+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",Multraship's latest; MULTRATUG 29 seen arriving at Flushing East towing AMT CHALLENGER. @multraship #damen #ASD3212 https://t.co/6msyIUSXfs,en,"['damen', 'ASD3212']",['https://pbs.twimg.com/media/DcvfqyyWAAA2Eg4.jpg'],
2018-05-08 08:03:48+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",Heerema's H-542 seen loaded with the BORWIN3 jacket after departing the Heerema premises at Flushing East. https://t.co/mG2e3Mng2U,en,,['https://pbs.twimg.com/media/DcqOh9ZWkAAdfiz.jpg'],
2018-05-04 15:13:30+00:00,maritimephoto,http://t.co/0dSqgMG6EJ is a small company involved in maritime photography since 1959.,"near Flushing, Holland",KNS SHUJAA seen returning from trials this afternoon. https://t.co/yd5kKGqTkk,en,,['https://pbs.twimg.com/media/DcXKhTUXUAAcRrq.jpg'],
