user_name,created_at,user_location,place,description,media_url,language,text,hashtags
jason_photos,2022-03-28 18:10:19+00:00,kent,,,"['http://pbs.twimg.com/media/FO9KXKOWYAEqu-_.jpg', 'http://pbs.twimg.com/media/FO8lnIFXsBMTihQ.jpg', 'http://pbs.twimg.com/media/FOjf2ujWYAIDo9s.jpg', 'http://pbs.twimg.com/media/FOXn_Z9WUAARvZM.jpg']",en,@thamesclippers @visit_gravesend @LondonPortAuth @Krispen_Ships @ldnriverthames some bue the river today https://t.co/UXVDr7BglG,[]
jason_photos,2022-03-28 15:30:13+00:00,kent,,,"['http://pbs.twimg.com/media/FO9KXKOWYAEqu-_.jpg', 'http://pbs.twimg.com/media/FO8lnIFXsBMTihQ.jpg', 'http://pbs.twimg.com/media/FOjf2ujWYAIDo9s.jpg', 'http://pbs.twimg.com/media/FOXn_Z9WUAARvZM.jpg']",en,@thamesclippers @LondonPortAuth @Krispen_Ships the barking riverside pier has turn up this afternoon https://t.co/WL7FdQRXFm,[]
Krispen_Ships,2022-03-23 18:31:38+00:00,"Greenhithe, UK",,"Self confessed ship enthusiast, proud Cornishman and maritime author. All opinions expressed are my own!","['http://pbs.twimg.com/media/FO9KXKOWYAEqu-_.jpg', 'http://pbs.twimg.com/media/FO8lnIFXsBMTihQ.jpg', 'http://pbs.twimg.com/media/FOjf2ujWYAIDo9s.jpg', 'http://pbs.twimg.com/media/FOXn_Z9WUAARvZM.jpg']",en,"A sign that the days are drawing out, MARIA GRAZIA ONORATO outbound this evening, for Rotterdam, operating for CLdN. https://t.co/B7ohBIRUFO",[]
jason_photos,2022-03-21 11:11:44+00:00,kent,,,"['http://pbs.twimg.com/media/FO9KXKOWYAEqu-_.jpg', 'http://pbs.twimg.com/media/FO8lnIFXsBMTihQ.jpg', 'http://pbs.twimg.com/media/FOjf2ujWYAIDo9s.jpg', 'http://pbs.twimg.com/media/FOXn_Z9WUAARvZM.jpg']",en,@Krispen_Ships i just nr miss getting her https://t.co/4PRGR4s9Hd,[]
